,Unnamed: 0.1,Unnamed: 0,gender,age,fnlwgt,education_num,capital_gain,hours_per_week,GroundTruth,GroundTruth_DB,FairDEN,Scalable,FairSC_normalized,FairSC,FairDen,Fairlet_MCF Fairlet2
33,33,13909,0,19,98605,10,0,20,0,-1,1,0,0,1,0,0
34,34,31723,1,35,189092,13,0,40,1,-1,1,0,1,0,0,0
35,35,7565,0,41,277390,13,0,30,1,-1,0,1,0,1,1,0
36,36,4865,1,22,162869,10,0,65,0,-1,0,1,1,1,1,0
37,37,39544,0,37,229647,9,0,42,0,-1,1,1,0,1,0,0
38,38,10941,1,58,373344,2,0,40,0,-1,0,1,0,1,1,0
39,39,15482,1,28,114053,10,0,30,0,-1,1,0,0,1,0,0
40,40,4878,1,29,206351,6,5013,40,0,-1,0,1,0,1,1,0
41,41,13433,1,44,175641,7,0,40,1,-1,1,0,0,1,0,0
42,42,4273,0,23,257621,13,0,45,0,-1,1,1,0,1,0,0
43,43,29060,1,28,314649,10,0,60,0,-1,0,1,0,1,1,0
44,44,30244,1,22,408383,10,0,40,0,-1,1,1,0,1,0,0
45,45,44331,1,39,256294,9,0,40,0,-1,1,1,0,1,0,0
46,46,25834,0,66,302072,12,0,40,0,-1,0,0,0,1,1,0
47,47,47079,0,46,178642,9,0,40,1,0,1,0,0,1,0,0
48,48,19148,0,17,225106,6,0,18,0,-1,0,1,0,1,1,0
49,49,20356,0,37,127918,10,0,20,0,-1,1,0,0,1,0,0
50,50,43135,0,51,237295,10,0,40,0,-1,1,0,0,1,0,0
51,51,32707,0,62,369734,9,0,40,0,-1,0,1,0,1,1,0
52,52,39221,1,44,366180,13,0,50,0,-1,0,1,1,0,1,0
53,53,42234,1,33,204374,14,0,38,0,-1,1,1,1,0,0,0
54,54,4303,1,30,65278,9,0,40,1,-1,1,0,0,1,0,0
55,55,20279,1,44,197462,9,0,40,0,-1,1,0,0,1,0,0
56,56,36257,1,59,258883,11,0,40,0,-1,1,0,1,0,0,0
57,57,32109,0,66,93318,9,0,40,0,-1,1,0,0,1,0,0
58,58,42698,0,24,175778,13,0,40,0,-1,1,1,0,1,0,0
59,59,35881,1,30,111567,10,0,40,1,-1,1,0,0,1,0,0
60,60,45485,1,34,245211,14,0,40,1,-1,1,1,1,0,0,0
61,61,25113,1,58,53481,13,0,70,0,-1,0,0,1,0,1,0
62,62,40840,1,36,101192,9,0,40,1,-1,1,0,0,1,0,0
63,63,25956,1,46,63299,9,0,50,0,-1,1,0,0,1,0,0
64,64,46629,1,67,116502,9,0,30,0,-1,0,0,0,1,1,0
65,65,44755,1,17,260978,7,0,14,0,-1,1,1,0,1,0,0
66,66,24573,1,35,140854,9,0,60,0,-1,1,0,1,1,0,0
67,67,15769,1,32,123291,8,0,40,0,-1,1,0,0,1,0,0
68,68,21240,1,54,175262,4,0,40,0,-1,0,0,0,1,1,0
69,69,4524,1,19,39026,9,0,30,0,-1,1,0,0,1,0,0
70,70,41193,0,27,89813,13,0,40,0,-1,1,0,0,1,0,0
71,71,35280,0,39,219137,12,0,40,0,-1,1,1,0,1,0,0
72,72,11335,0,43,281422,12,0,45,0,-1,1,1,0,1,0,0
73,73,21531,1,25,152503,10,0,40,0,-1,1,1,0,1,0,0
74,74,25109,1,34,195602,12,0,44,0,-1,1,1,1,0,0,0
75,75,31872,0,61,153408,14,0,40,1,-1,1,0,1,1,0,0
76,76,1175,1,58,169982,10,0,40,1,-1,1,0,0,1,0,0
77,77,19825,1,31,164190,6,0,40,0,-1,1,0,0,1,0,0
78,78,20188,1,50,65160,13,0,40,0,-1,1,0,1,0,0,0
79,79,2004,1,39,192337,13,0,50,0,-1,1,0,1,0,0,0
80,80,7133,1,41,174395,14,0,40,1,-1,1,0,1,0,0,0
81,81,45937,1,45,55272,11,0,40,0,-1,1,0,0,1,0,0
82,82,18049,1,36,484024,9,0,40,0,-1,0,1,0,1,1,0
83,83,3000,1,31,259931,4,0,40,0,-1,0,1,0,1,1,0
84,84,29683,1,25,141876,14,0,45,0,-1,1,0,1,0,0,0
85,85,16840,1,62,199193,9,0,25,0,-1,0,0,0,1,1,0
86,86,26232,1,35,218955,13,0,40,0,-1,1,1,1,0,0,0
87,87,1422,0,40,202872,12,0,45,0,-1,1,0,0,1,0,0
88,88,9194,0,55,170169,9,0,40,0,-1,1,0,0,1,0,0
89,89,26229,0,35,261012,10,0,40,0,-1,1,1,0,1,0,0
90,90,34271,0,53,94186,12,0,37,0,-1,1,0,0,1,0,0
91,91,14198,0,39,206253,13,0,40,0,-1,1,0,0,1,0,0
92,92,47220,1,27,262723,10,0,40,0,-1,1,1,0,1,0,0
93,93,48161,1,34,103642,9,0,40,0,-1,1,0,0,1,0,1
94,94,147,0,36,108293,9,0,24,0,-1,1,0,0,1,0,0
95,95,21528,0,55,194065,12,0,40,0,-1,1,0,0,1,0,0
96,96,40318,1,42,27085,10,0,40,0,-1,1,0,0,1,0,0
97,97,30170,0,20,26842,10,2176,40,0,-1,1,0,0,1,0,0
98,98,32941,1,64,192715,13,0,10,0,-1,0,0,1,0,1,0
99,99,20182,0,39,170382,14,0,50,1,-1,1,0,1,1,0,0
100,100,32206,0,18,41381,9,0,20,0,-1,1,0,0,1,0,0
101,101,40509,1,38,227615,7,0,40,0,-1,1,1,0,1,0,0
102,102,27434,1,35,253006,10,7688,38,1,-1,0,1,1,1,1,0
103,103,47104,1,34,450141,13,15024,35,1,-1,0,1,1,1,1,0
104,104,13685,0,44,277720,10,0,35,0,-1,1,1,0,1,0,0
105,105,26776,1,50,129956,9,0,48,1,-1,1,0,0,1,0,0
106,106,38529,1,34,201874,9,0,40,0,-1,1,1,0,1,0,0
107,107,4280,1,64,114994,9,0,20,0,-1,0,0,0,1,1,0
108,108,2741,1,47,189123,9,0,40,0,0,1,0,0,1,0,0
109,109,26036,0,38,277022,10,0,40,0,-1,1,1,0,1,0,0
110,110,36309,1,67,427422,10,2414,16,0,-1,0,1,0,1,1,0
111,111,11993,1,53,139671,13,0,40,1,-1,1,0,1,0,0,0
112,112,7229,0,36,285865,13,0,40,0,-1,1,1,0,1,0,0
113,113,30079,0,40,406811,9,0,40,0,-1,1,1,0,1,0,0
114,114,29081,0,19,164938,10,0,25,0,-1,1,1,0,1,0,0
115,115,5843,1,23,224954,10,0,25,0,-1,1,1,0,1,0,0
116,116,8489,1,24,189148,10,0,40,0,-1,1,1,0,1,0,0
117,117,7112,1,20,42706,10,0,25,0,-1,1,0,0,1,0,0
118,118,26852,1,58,314092,11,0,48,1,-1,0,1,0,0,1,0
119,119,44831,1,61,190955,13,7688,40,1,-1,0,0,1,0,1,0
120,120,14286,1,45,362883,9,5013,40,0,-1,0,1,0,1,1,0
121,121,10538,0,39,177728,14,0,40,0,-1,1,0,0,1,0,0
122,122,27861,0,48,70668,9,0,50,0,-1,1,0,0,1,0,0
123,123,29331,0,43,424094,16,0,40,0,-1,0,1,0,1,1,0
124,124,4348,1,33,184901,9,0,40,1,1,1,1,0,1,0,0
125,125,44067,1,42,297266,10,0,90,1,-1,0,1,1,0,1,0
126,126,46045,0,75,199826,10,0,36,1,-1,0,0,0,1,1,0
127,127,20989,1,25,236977,9,0,40,0,-1,1,1,0,1,0,0
128,128,37891,1,32,335569,9,0,40,0,-1,1,1,0,1,0,0
129,129,6915,1,46,110015,4,0,75,0,-1,0,0,0,1,1,0
130,130,27087,1,66,262552,10,0,7,0,-1,0,0,0,1,1,0
131,131,1570,0,19,62534,13,0,40,0,-1,1,0,0,1,0,0
132,132,36153,0,42,150568,10,0,45,0,-1,1,0,0,1,0,0
133,133,14453,1,36,147258,10,0,60,0,-1,1,0,1,1,0,0
134,134,20516,0,27,151626,9,0,40,0,-1,1,0,0,1,0,0
135,135,13400,1,18,184101,10,0,25,0,-1,1,1,0,1,0,0
136,136,40834,1,28,198201,9,0,40,0,-1,1,1,0,1,0,0
137,137,6478,1,29,464536,13,0,40,0,-1,0,1,0,1,1,0
138,138,37315,0,28,166634,9,0,40,0,-1,1,1,0,1,0,0
139,139,40980,0,52,121038,9,0,43,0,-1,1,0,0,1,0,0
140,140,20665,1,55,190514,4,0,75,0,-1,0,0,0,1,1,0
141,141,9189,1,38,227154,13,0,40,0,-1,1,1,1,0,0,0
142,142,1710,0,73,267408,9,0,15,0,-1,0,0,0,1,1,0
143,143,12959,1,38,32271,10,0,40,0,-1,1,0,0,1,0,0
144,144,23738,1,50,163948,14,0,40,1,-1,1,0,1,0,0,0
145,145,42269,0,31,328734,9,0,40,0,-1,1,1,0,1,0,0
146,146,30012,0,28,184078,8,0,40,0,-1,1,1,0,1,0,0
147,147,22637,0,22,223019,9,0,20,0,-1,1,1,0,1,0,0
148,148,43256,1,33,159123,10,0,40,1,-1,1,0,0,1,0,0
149,149,41432,0,37,26898,12,0,40,0,-1,1,0,0,1,0,0
150,150,10259,1,41,397280,13,0,72,0,-1,0,1,1,0,1,0
151,151,35605,1,26,316337,10,0,40,0,-1,1,1,0,1,0,0
152,152,27560,1,34,261023,10,0,38,0,-1,1,1,0,1,0,0
153,153,11463,0,36,229180,10,0,40,0,-1,1,1,0,1,0,0
154,154,12616,1,49,246891,13,0,40,1,-1,1,0,1,0,0,0
155,155,31641,1,18,157273,6,0,15,0,-1,1,1,0,1,0,0
156,156,25542,1,26,94477,10,7298,55,1,-1,0,0,1,1,1,0
157,157,46745,0,27,226441,13,0,40,0,-1,1,1,0,1,0,0
158,158,17871,1,28,381789,10,0,40,0,-1,1,1,0,1,0,0
159,159,12457,1,60,160339,10,0,40,0,-1,1,0,0,1,0,0
160,160,47933,1,18,149017,8,0,10,0,-1,0,1,0,1,1,0
161,161,39662,0,19,208066,10,0,40,0,-1,1,1,0,1,0,0
162,162,30275,1,46,295334,16,0,60,1,-1,0,1,1,0,1,0
163,163,6361,1,35,63509,11,0,50,0,-1,1,0,0,1,0,0
164,164,15686,1,24,232841,9,0,35,0,-1,1,1,0,1,0,0
165,165,20052,0,41,106982,10,0,40,1,-1,1,0,0,1,0,0
166,166,29679,1,30,177304,10,0,44,0,-1,1,1,0,1,0,0
167,167,25828,1,24,462820,13,0,40,0,-1,0,1,0,1,1,0
168,168,16584,1,52,196894,7,0,40,0,-1,1,0,0,1,0,0
169,169,4657,1,34,34374,10,0,50,0,-1,1,0,0,1,0,0
170,170,19785,0,19,208656,10,594,20,0,-1,1,1,0,1,0,0
171,171,34910,1,64,234570,10,0,40,0,-1,1,0,0,1,0,0
172,172,26704,1,40,126701,5,0,45,0,-1,0,0,0,1,1,0
173,173,20057,1,29,107812,10,0,15,0,-1,1,0,0,1,0,0
174,174,29465,1,58,31732,10,0,45,1,-1,1,0,0,1,0,0
175,175,2189,0,74,39890,10,0,18,0,-1,0,0,0,1,1,0
176,176,2791,0,55,92215,9,0,40,0,-1,1,0,0,1,0,0
177,177,19244,1,26,381618,5,0,45,0,-1,0,1,0,1,1,0
178,178,26845,1,47,173938,13,0,57,1,-1,1,0,1,0,0,0
179,179,33540,0,64,45868,4,0,35,0,-1,0,0,0,1,1,0
180,180,4162,0,29,446559,12,0,50,0,-1,0,1,0,1,1,0
181,181,18805,1,59,253062,15,0,55,1,-1,0,0,1,0,1,0
182,182,15878,1,35,115214,9,6497,65,0,-1,0,0,1,1,1,0
183,183,4,0,28,338409,13,0,40,0,-1,1,1,0,1,0,0
184,184,2385,1,56,211804,13,15024,50,1,-1,0,0,1,0,1,0
185,185,42363,1,35,91124,13,0,40,0,-1,1,0,1,0,0,0
186,186,18862,1,50,94391,11,0,50,1,-1,1,0,1,1,0,0
187,187,3494,1,21,182606,10,0,40,0,-1,1,1,0,1,0,0
188,188,5739,1,41,202168,10,0,60,1,-1,1,0,1,1,0,0
189,189,39398,1,47,189498,9,0,65,1,-1,0,0,1,1,1,0
190,190,3899,1,22,131230,10,0,40,0,-1,1,0,0,1,0,0
191,191,37154,1,27,183148,9,0,40,0,-1,1,1,0,1,0,0
192,192,45474,1,46,25894,16,0,40,1,-1,0,0,1,0,1,0
193,193,27362,1,27,269444,9,0,40,0,-1,1,1,0,1,0,0
194,194,13099,1,19,339123,10,0,40,0,-1,1,1,0,1,0,0
195,195,46184,0,61,149981,9,0,40,0,-1,1,0,0,1,0,0
196,196,23141,0,25,109419,9,0,40,0,-1,1,0,0,1,0,0
197,197,28382,1,17,228253,6,0,10,0,-1,0,1,0,1,1,0
198,198,39644,1,61,243019,1,0,40,0,-1,0,0,0,1,1,0
199,199,14764,0,39,165235,13,0,40,1,-1,1,0,0,1,0,0
200,200,18627,1,34,54850,13,0,50,0,-1,1,0,1,0,0,0
201,201,10241,1,38,179579,9,0,40,0,-1,1,0,0,1,0,0
202,202,6132,1,59,197290,5,0,40,0,-1,1,0,0,1,0,0
203,203,5604,0,47,176319,9,0,38,1,-1,1,0,0,1,0,0
204,204,46630,0,51,163606,10,0,40,0,-1,1,0,0,1,0,0
205,205,9354,0,39,358837,10,0,40,0,-1,1,1,0,1,0,0
206,206,8557,1,41,209547,9,0,40,0,-1,1,0,0,1,0,0
207,207,45556,0,19,188618,9,0,24,0,-1,1,1,0,1,0,0
208,208,4039,0,39,99065,13,0,40,1,-1,1,0,0,1,0,0
209,209,469,0,30,118551,13,0,16,1,-1,0,0,0,1,1,0
210,210,47610,0,26,33016,11,0,55,0,-1,0,0,0,1,1,0
211,211,21570,1,28,319768,14,0,45,1,-1,1,1,1,0,0,0
212,212,9061,1,56,139616,13,0,45,1,-1,1,0,1,0,0,0
213,213,26856,1,29,109001,10,0,35,0,-1,1,0,0,1,0,0
214,214,28594,1,18,135924,10,0,40,0,-1,1,1,0,1,0,0
215,215,30732,1,69,121136,9,0,13,0,-1,0,0,0,1,1,0
216,216,31635,1,27,180758,10,0,30,0,-1,1,1,0,1,0,0
217,217,15951,1,48,118889,9,2885,15,0,-1,0,0,0,1,1,0
218,218,23421,1,53,229465,14,0,55,1,-1,0,0,1,0,1,0
219,219,9060,1,67,247566,9,0,24,0,-1,0,0,0,1,1,0
220,220,7442,1,39,272950,13,0,45,1,-1,1,1,1,0,0,0
221,221,44217,0,23,122244,10,0,40,0,-1,1,0,0,1,0,0
222,222,13152,1,63,225102,9,0,40,0,-1,1,0,0,1,0,0
223,223,4248,0,43,243476,9,0,40,0,-1,1,1,0,1,0,0
224,224,11757,0,36,279615,13,0,40,0,-1,1,1,0,1,0,0
225,225,36548,0,58,95428,14,0,40,0,-1,1,0,1,1,0,0
226,226,4969,1,29,77760,9,0,45,0,-1,1,0,0,1,0,0
227,227,8358,1,43,163847,13,0,50,1,-1,1,0,1,0,0,0
228,228,12483,1,46,30219,10,7688,38,1,-1,0,0,1,1,1,0
229,229,4107,0,25,186294,9,0,50,0,-1,1,1,0,1,0,0
230,230,21194,0,25,232914,13,0,38,0,-1,1,1,0,1,0,0
231,231,39527,1,58,106740,9,0,40,1,-1,1,0,0,1,0,0
232,232,40477,0,38,202937,12,0,40,1,-1,1,0,0,1,0,0
233,233,40192,1,52,165998,15,7298,50,1,-1,0,0,1,0,1,0
234,234,28062,1,44,116358,13,0,40,1,-1,1,0,1,0,0,0
235,235,40278,1,60,40856,9,0,40,0,-1,1,0,0,1,0,0
236,236,19538,0,36,76767,10,0,39,0,-1,1,0,0,1,0,0
237,237,23943,0,40,55191,10,0,40,0,-1,1,0,0,1,0,0
238,238,37527,1,67,162009,6,0,16,0,-1,0,0,0,1,1,0
239,239,13659,1,34,73199,7,0,40,0,-1,1,0,0,1,0,0
240,240,30097,1,37,185567,9,0,40,1,-1,1,0,0,1,0,0
241,241,39938,1,30,90308,1,0,28,0,-1,0,0,0,1,1,0
242,242,48101,1,34,356882,9,0,40,0,-1,1,1,0,1,0,0
243,243,38836,0,55,421228,14,0,40,1,-1,0,1,0,1,1,0
244,244,45596,0,60,193864,9,0,40,0,-1,1,0,0,1,0,0
245,245,7439,0,31,185528,10,0,35,0,-1,1,1,0,1,0,0
246,246,14304,0,25,159603,9,0,34,0,-1,1,1,0,1,0,0
247,247,16742,1,23,182615,10,0,40,0,-1,1,1,0,1,0,0
248,248,43084,1,33,51185,10,0,40,0,-1,1,0,0,1,0,0
249,249,37293,1,23,50411,9,0,40,0,-1,1,0,0,1,0,0
250,250,9769,1,32,157887,9,0,40,0,-1,1,0,0,1,0,0
251,251,43242,0,32,113453,13,0,24,1,-1,0,0,0,1,1,0
252,252,44869,0,48,127675,14,0,44,0,-1,1,0,1,1,0,0
253,253,37215,1,24,155172,12,0,40,0,-1,1,1,1,0,0,0
254,254,32472,0,27,221561,7,0,32,0,-1,0,1,0,1,1,0
255,255,36714,1,46,149337,10,0,55,0,-1,1,0,0,1,0,0
256,256,21908,0,32,235862,10,0,45,0,-1,1,1,0,1,0,0
257,257,37993,1,33,30612,10,0,40,0,-1,1,0,0,1,0,0
258,258,26222,1,46,325372,10,0,40,0,-1,1,1,0,1,0,0
259,259,10565,1,20,140001,10,0,40,0,-1,1,1,0,1,0,0
260,260,6804,0,47,321851,13,0,50,1,-1,0,1,0,1,1,0
261,261,32102,0,32,172415,9,0,40,0,-1,1,0,0,1,0,0
262,262,21680,1,40,307767,9,0,60,0,-1,0,1,0,1,1,0
263,263,4816,0,56,191917,12,4101,40,0,-1,0,0,1,1,1,0
264,264,27417,1,31,369648,12,0,50,1,-1,0,1,0,0,1,0
265,265,20267,1,36,113337,10,0,42,1,-1,1,0,0,1,0,0
266,266,27537,0,45,32896,3,0,35,0,-1,0,0,0,1,1,0
267,267,3539,1,36,165799,14,0,50,1,-1,1,0,1,0,0,0
268,268,44577,1,63,176827,10,0,30,1,-1,0,0,0,1,1,0
269,269,41684,1,36,166115,10,0,56,0,-1,1,0,1,1,0,0
270,270,24444,1,17,321880,6,0,15,0,-1,0,1,0,1,1,0
271,271,37651,1,27,211208,7,0,40,0,-1,1,1,0,1,0,0
272,272,28536,1,36,262688,10,7688,50,1,-1,0,1,1,1,1,0
273,273,26637,1,17,101626,5,0,20,0,-1,0,0,0,1,1,0
274,274,44687,1,34,141841,9,0,40,0,-1,1,0,0,1,0,0
275,275,37363,1,30,289442,13,0,40,0,-1,1,1,1,0,0,0
276,276,9314,0,40,84232,9,0,4,0,-1,0,0,0,1,1,0
277,277,2528,1,47,102359,13,0,30,0,-1,0,0,1,0,1,0
278,278,37263,1,27,41115,10,0,40,0,-1,1,0,0,1,0,0
279,279,24163,1,66,212185,4,0,48,0,-1,0,0,0,1,1,0
280,280,28619,1,36,328466,3,0,50,1,-1,0,1,0,1,1,0
281,281,6916,1,24,104146,13,0,40,0,-1,1,0,1,0,0,0
282,282,44328,1,58,174848,8,0,40,0,-1,1,0,0,1,0,0
283,283,45789,1,32,199366,6,0,16,0,-1,0,1,0,1,1,0
284,284,6759,1,20,233624,9,0,40,0,-1,1,1,0,1,0,0
285,285,17777,1,36,202950,13,0,50,0,-1,1,1,1,0,0,0
286,286,15506,1,53,148532,13,0,60,1,-1,0,0,1,0,1,0
287,287,34927,1,42,347653,13,0,60,0,-1,1,1,1,0,0,0
288,288,6748,1,41,48087,4,0,40,0,-1,0,0,0,1,1,0
289,289,1232,0,27,175034,13,0,40,0,-1,1,1,0,1,0,0
290,290,38334,0,18,156981,7,0,20,0,-1,1,1,0,1,0,0
291,291,3705,1,41,113555,10,7298,50,1,-1,0,0,1,1,1,0
292,292,30397,0,41,202872,6,0,40,0,-1,1,0,0,1,0,0
293,293,26831,1,30,95299,9,0,40,1,-1,1,0,0,1,0,0
294,294,43080,0,39,212840,13,0,40,0,-1,1,1,0,1,0,0
295,295,15610,0,30,164309,9,0,35,0,-1,1,0,0,1,0,0
296,296,25466,1,58,248841,9,15024,40,1,-1,0,0,1,0,1,0
297,297,21634,1,66,350498,10,0,28,0,-1,0,1,0,1,1,0
298,298,18679,0,52,561489,14,0,50,0,-1,0,1,0,1,1,0
299,299,46188,1,31,203408,10,0,45,0,-1,1,1,0,1,0,0
300,300,2372,1,74,340939,5,3471,40,0,-1,0,0,0,1,1,0
301,301,9055,1,23,433669,12,0,40,0,-1,0,1,0,1,1,0
302,302,9267,1,19,233779,10,0,60,0,-1,0,1,0,1,1,0
303,303,44838,1,32,303942,3,0,48,0,-1,0,1,0,1,1,0
304,304,7918,0,20,245297,10,0,20,0,-1,1,1,0,1,0,0
305,305,41345,1,40,255824,14,0,40,1,-1,1,1,1,0,0,0
306,306,28116,1,40,272960,12,0,42,1,-1,1,1,1,0,0,0
307,307,38478,1,37,255503,15,0,55,1,-1,0,1,1,0,1,0
308,308,7330,1,46,160061,10,0,40,0,-1,1,0,0,1,0,0
309,309,6204,1,84,155057,13,0,20,0,-1,0,0,1,0,1,0
310,310,18184,0,23,195532,13,0,40,0,-1,1,1,0,1,0,0
311,311,48275,1,66,190160,15,0,20,0,-1,0,0,1,0,1,0
312,312,15917,1,41,200671,13,6497,40,0,-1,0,0,1,0,1,0
313,313,11048,1,48,237525,13,7688,65,1,-1,0,0,1,0,1,0
314,314,13019,0,42,184837,9,7298,40,1,-1,0,0,0,1,1,0
315,315,7449,0,68,170182,10,0,40,0,-1,1,0,0,1,0,0
316,316,36209,1,40,190507,9,0,60,1,-1,1,0,1,1,0,0
317,317,15181,0,28,96219,13,0,15,0,-1,0,0,0,1,1,0
318,318,36733,0,19,116385,12,0,18,0,-1,0,0,0,1,1,0
319,319,25472,1,22,119592,12,0,40,1,-1,1,0,0,0,0,0
320,320,34981,1,31,190650,14,0,40,0,-1,1,1,1,0,0,0
321,321,26072,0,39,80680,10,0,40,0,-1,1,0,0,1,0,0
322,322,34792,1,52,249196,12,0,55,1,-1,0,0,1,0,1,0
323,323,45094,1,53,206288,13,0,35,0,-1,1,0,1,0,0,0
324,324,14335,1,40,76487,9,0,40,0,-1,1,0,0,1,0,0
325,325,15056,1,53,167065,7,0,40,0,-1,1,0,0,1,0,0
326,326,2729,1,21,286853,9,0,35,0,-1,1,1,0,1,0,0
327,327,28837,0,22,171176,9,0,48,0,-1,1,1,0,1,0,0
328,328,5711,0,37,170408,11,0,30,0,-1,1,0,0,1,0,0
329,329,38109,0,35,189382,10,0,38,0,-1,1,0,0,1,0,0
330,330,985,0,63,254907,11,0,20,0,-1,0,0,0,1,1,0
331,331,3049,1,39,122742,12,15024,55,1,-1,0,0,1,0,1,0
332,332,11433,1,49,278322,9,0,40,1,-1,1,1,0,1,0,0
333,333,13041,1,40,201764,9,0,40,0,-1,1,0,0,1,0,0
334,334,19663,1,32,377836,11,0,40,0,-1,1,1,0,1,0,0
335,335,30184,1,39,48915,9,0,40,1,-1,1,0,0,1,0,0
336,336,9536,1,32,324386,13,0,40,0,-1,1,1,0,0,0,0
337,337,28058,0,20,121023,10,0,40,0,-1,1,0,0,1,0,0
338,338,30089,1,20,82777,9,0,40,0,-1,1,0,0,1,0,0
339,339,19706,1,58,111625,13,8614,40,1,-1,0,0,1,0,1,0
340,340,37872,0,25,390537,10,0,25,0,-1,1,1,0,1,0,0
341,341,18397,1,34,236861,9,0,45,0,-1,1,1,0,1,0,0
342,342,5676,0,41,163322,13,0,30,0,-1,0,0,0,1,1,0
343,343,39728,1,53,385183,10,0,60,0,-1,0,1,1,0,1,0
344,344,24608,1,39,172538,9,0,40,0,-1,1,0,0,1,0,0
345,345,6113,0,56,87584,9,0,40,0,-1,1,0,0,1,0,0
346,346,47697,0,23,223019,10,0,35,0,-1,1,1,0,1,0,0
347,347,38486,1,20,117210,10,0,40,0,-1,1,0,0,1,0,0
348,348,19570,1,18,123714,7,0,40,0,-1,1,1,0,1,0,0
349,349,35655,0,29,27436,9,0,35,0,-1,1,0,0,1,0,0
350,350,31636,0,29,499935,11,0,40,0,-1,0,1,0,1,1,0
351,351,48059,1,22,191954,11,0,45,0,-1,1,1,0,1,0,0
352,352,14894,0,31,143392,10,0,35,0,-1,1,0,0,1,0,0
353,353,3308,1,39,352248,12,0,40,0,-1,1,1,0,0,0,0
354,354,31051,1,43,306440,15,0,66,0,-1,0,1,1,0,1,0
355,355,22681,1,36,210945,10,0,70,0,-1,0,1,1,0,1,0
356,356,43269,1,36,379522,9,15024,40,1,-1,0,1,1,1,1,0
357,357,46053,1,45,272182,10,5013,40,0,-1,0,1,1,1,1,0
358,358,28319,0,54,185042,2,0,40,0,-1,0,0,0,1,1,0
359,359,6810,1,32,319280,12,0,80,0,-1,0,1,1,0,1,0
360,360,23730,0,28,33374,7,0,35,0,-1,0,0,0,1,1,0
361,361,5553,1,27,292472,10,0,40,1,-1,1,1,0,1,0,0
362,362,2875,1,29,227890,9,0,40,0,-1,1,1,0,1,0,0
363,363,45193,0,32,278940,9,0,40,0,-1,1,1,0,1,0,0
364,364,8904,1,45,201699,11,0,40,1,-1,1,0,0,1,0,0
365,365,24452,1,28,113870,9,0,40,0,-1,1,0,0,1,0,0
366,366,15679,1,44,306440,9,0,40,0,-1,1,1,0,1,0,0
367,367,34500,0,33,43608,10,0,40,0,-1,1,0,0,1,0,0
368,368,34086,0,60,338833,9,0,38,0,-1,0,1,0,1,1,0
369,369,15273,0,25,201635,13,0,50,0,-1,1,1,0,1,0,0
370,370,4057,1,40,510072,13,0,55,1,-1,0,1,0,0,1,0
