,marital,age,balance,duration,GroundTruth,GroundTruth_DB,FairDen,FairSC_normalized,FairSC
39582,1,52,1629,192,0,0,0,0,1
28776,1,38,168,151,0,0,0,1,0
33268,1,38,0,305,0,0,0,1,1
2481,1,60,1262,1015,1,0,1,0,1
22370,1,32,3601,171,0,0,0,0,1
19935,1,38,484,173,0,0,0,1,0
25459,1,30,521,648,0,0,0,0,1
9558,1,54,378,371,0,0,0,0,1
35158,2,29,2891,293,0,0,1,0,1
23764,1,56,67,88,0,0,0,0,1
37159,2,38,2253,937,1,0,1,0,1
38782,1,30,-146,167,0,0,0,1,0
26075,2,41,4517,137,0,0,1,0,1
14460,1,36,223,12,0,0,0,1,0
21502,2,30,126,256,0,0,0,0,1
8873,1,53,579,1224,0,0,1,0,1
31074,2,29,316,156,1,0,0,1,1
16289,0,46,91,182,0,0,0,1,1
12679,0,54,5253,17,0,0,1,0,1
22875,2,34,250,64,0,0,0,1,1
29162,1,53,598,340,0,0,0,0,1
12342,1,55,625,48,0,0,0,0,1
3826,1,38,467,379,0,0,0,1,1
41856,2,20,0,69,0,0,0,1,1
18780,1,56,3480,124,0,0,0,0,1
6768,2,29,5980,317,0,0,1,0,1
30426,2,29,111,98,0,0,0,1,1
9196,1,40,1779,59,0,0,0,1,1
30208,1,40,632,611,0,0,0,0,1
40719,2,38,0,255,0,0,0,0,1
25951,1,39,4136,194,0,0,0,0,1
24394,0,45,3150,101,0,0,0,0,1
29896,1,43,953,765,1,0,1,0,1
40139,1,61,997,269,1,0,0,0,1
39077,1,40,664,29,0,0,0,1,1
26461,1,34,17672,548,0,0,1,0,1
15847,1,44,26,105,0,0,0,0,1
36742,1,40,949,285,0,0,0,0,1
27128,2,37,0,232,0,0,0,0,1
14699,1,37,20,469,0,0,0,0,1
1591,1,36,491,103,0,0,0,1,0
42148,0,60,4,415,1,0,0,0,1
36522,1,51,-287,814,0,0,1,0,1
11229,1,55,0,324,0,0,0,0,1
3614,1,57,388,262,0,0,0,0,1
27788,2,27,3,131,0,0,0,1,1
8371,2,31,1166,207,0,0,0,0,1
22349,2,58,0,72,0,0,0,0,1
7,0,42,2,380,0,0,0,0,1
31726,1,36,1198,278,0,0,0,1,1
33631,2,35,183,78,0,0,0,1,1
13585,1,56,343,77,0,0,0,0,1
699,2,24,77,390,0,0,0,0,1
14787,1,41,0,211,0,0,0,1,1
44525,1,62,2557,211,1,0,1,0,1
2608,1,40,1117,280,0,0,0,0,1
16721,0,59,3331,43,0,0,1,0,1
40717,1,74,0,562,1,0,1,0,1
40004,2,30,601,80,0,0,0,1,1
21873,1,50,-219,177,0,0,0,0,1
31886,1,62,1084,505,1,0,1,0,1
42771,1,47,3715,171,1,0,0,0,1
7291,1,33,-416,431,0,0,0,1,1
31513,2,35,744,1096,0,0,1,0,1
21949,2,31,2085,147,0,0,0,0,1
21627,1,56,0,486,0,0,0,0,1
28981,1,34,926,655,0,0,0,0,1
1211,2,36,49,405,0,0,0,0,1
13994,1,52,142,924,0,0,1,0,1
13909,1,30,5,829,1,0,0,0,1
9027,1,37,2132,232,0,0,0,1,1
11720,2,56,4365,361,0,0,1,0,1
22475,2,31,373,346,0,0,0,0,1
1878,1,45,137,274,0,0,0,0,1
40884,1,50,2218,711,1,0,1,0,1
7906,1,40,303,104,0,0,0,1,1
35981,1,46,5130,181,0,0,1,0,1
30800,1,48,354,37,0,0,0,0,1
5309,2,34,1880,297,0,0,0,0,1
19744,1,42,42045,205,0,-1,1,0,1
33704,1,38,0,571,1,0,0,0,1
2115,0,56,75,136,0,0,0,0,1
44344,2,38,490,17,0,0,0,0,1
15431,2,38,-61,102,0,0,0,0,1
44293,1,49,1830,261,1,0,0,0,1
42473,1,63,2716,205,0,0,1,0,1
28149,0,40,94,121,0,0,0,1,1
14512,0,49,30,439,0,0,0,0,1
29568,1,31,302,181,0,0,0,1,0
28821,1,36,812,138,0,0,0,1,0
3101,1,29,424,241,0,0,0,1,0
42467,2,32,307,96,0,0,0,1,1
25061,1,38,0,185,0,0,0,1,0
2039,0,57,0,144,0,0,0,0,1
19221,1,44,313,211,0,0,0,0,1
38853,2,48,428,127,0,0,0,0,1
3552,1,56,2256,171,0,0,0,0,1
538,1,34,-144,79,0,0,0,1,0
25732,1,34,4028,98,0,0,0,0,1
7142,1,36,1423,193,0,0,0,1,0
17587,1,59,0,45,0,0,0,0,1
15670,1,58,471,61,0,0,0,0,1
8415,2,36,743,517,0,0,0,0,1
14340,1,32,2353,334,0,0,1,1,1
29196,2,32,1534,199,0,0,0,0,1
33281,1,73,253,345,1,0,1,0,1
40260,1,32,51,297,1,0,0,1,0
7577,2,43,30,379,0,0,0,0,1
14069,1,55,983,41,0,0,0,0,1
19417,2,41,0,91,0,0,0,0,1
25802,1,37,332,342,0,0,0,1,1
4655,1,32,908,64,0,0,0,1,0
1177,2,25,1348,109,0,0,0,1,1
13602,2,29,-223,208,0,0,0,1,1
3805,1,40,1126,22,0,0,0,1,1
6484,0,40,-78,67,0,0,0,1,1
6272,1,31,66,121,0,0,0,1,0
7625,1,49,-209,171,0,0,0,0,1
27859,1,58,1,536,0,0,0,0,1
26208,0,46,931,90,0,0,0,0,1
36549,1,41,449,313,0,0,0,0,1
40839,2,72,614,553,0,0,1,0,1
16436,2,28,153,1124,1,0,1,0,1
15836,2,58,6570,106,0,0,1,0,1
4309,2,51,1146,458,0,0,1,0,1
32320,1,53,51,109,0,0,0,0,1
19608,1,46,2098,110,0,0,0,0,1
23625,1,33,968,95,0,0,0,1,0
25845,1,35,0,644,1,0,0,0,1
28071,1,53,1770,147,0,0,0,0,1
21414,0,37,481,97,0,0,0,1,1
15671,1,34,865,51,0,0,0,1,0
15420,1,53,225,171,0,0,0,0,1
41044,1,48,1519,360,0,0,0,0,1
16472,2,26,5829,41,0,0,1,0,1
5289,2,32,3050,298,0,0,0,0,1
18794,1,49,324,227,0,0,0,0,1
3553,1,43,778,284,0,0,0,0,1
41718,0,33,2411,130,1,0,0,0,1
13094,1,55,197,256,0,0,0,0,1
30847,2,37,248,77,0,0,0,0,1
18857,1,57,166,58,0,0,0,0,1
30089,2,31,3528,132,0,0,0,0,1
35819,0,46,1807,62,0,0,0,0,1
25527,0,41,8106,39,0,0,1,0,1
2829,0,39,517,1328,1,0,1,0,1
22531,1,30,394,216,0,0,0,1,0
7326,1,46,2940,195,0,0,0,0,1
14026,1,39,37,467,0,0,0,0,1
15974,1,40,268,352,0,0,0,0,1
9212,1,35,214,247,0,0,0,1,0
37940,0,52,-100,7,0,0,0,0,1
6929,2,35,137,667,0,0,0,0,1
2111,2,30,-149,164,0,0,0,1,1
19912,1,43,21510,248,0,0,1,0,1
7682,1,52,2144,60,0,0,0,0,1
10220,1,40,1325,150,0,0,0,1,1
37224,1,47,6150,444,0,0,1,0,1
8037,1,35,314,464,0,0,0,1,1
11424,1,50,1179,30,0,0,0,0,1
39882,2,40,985,592,1,0,0,0,1
14529,1,34,390,659,0,0,0,0,1
42416,1,45,5021,233,1,0,1,0,1
8064,2,27,1237,535,0,0,1,0,1
7803,1,51,752,214,0,0,0,0,1
6576,1,45,-54,372,0,0,0,0,1
30032,1,54,844,8,0,0,0,0,1
33070,1,36,139,79,0,0,0,1,0
9726,1,43,861,78,0,0,0,0,1
8539,2,34,340,633,0,0,0,0,1
36623,1,44,870,118,0,0,0,0,1
35489,1,33,0,206,0,0,0,1,0
35034,0,26,-295,556,0,0,0,0,1
21093,2,30,114,65,0,0,0,1,1
33134,1,36,24,88,0,0,0,1,0
33563,0,41,1757,314,1,0,0,0,1
43181,2,36,12264,158,1,0,1,0,1
8002,1,39,22,493,0,0,0,0,1
4250,1,32,101,191,0,0,0,1,0
42004,0,77,3417,134,1,0,1,0,1
44004,0,41,663,24,0,0,0,1,1
43133,2,27,6036,175,1,0,1,0,1
19709,1,58,208,121,0,0,0,0,1
3236,1,43,1620,121,0,0,0,0,1
811,1,47,733,268,0,0,0,0,1
10176,1,45,750,183,0,0,0,0,1
5079,1,38,6704,205,0,0,1,0,1
38339,2,27,7944,99,0,0,1,0,1
20489,1,35,0,64,0,0,0,1,0
5171,2,31,-280,281,0,0,0,0,1
3665,1,36,512,343,0,0,0,1,1
3203,1,27,0,312,0,0,0,1,0
40251,2,23,870,316,1,0,1,0,1
23491,1,42,1013,117,0,0,0,0,1
11555,0,52,98,148,0,0,0,0,1
27025,1,46,39,64,0,0,0,0,1
44793,2,26,4859,90,0,0,1,0,1
26739,2,30,0,1329,0,0,1,0,1
31540,1,56,167,189,0,0,0,0,1
6202,2,28,0,290,0,0,0,0,1
2439,1,27,232,1167,0,0,1,0,1
25017,1,38,2008,354,0,0,0,0,1
19331,1,48,4459,536,0,0,1,0,1
15941,1,43,2,254,0,0,0,0,1
2419,2,29,-114,174,0,0,0,1,1
33840,2,31,2016,209,1,0,0,0,1
9557,0,59,40,108,0,0,0,0,1
103,1,59,179,55,0,0,0,0,1
33774,1,55,357,878,0,0,1,0,1
33600,1,37,0,242,1,0,0,1,0
10995,1,59,124,41,0,0,0,0,1
30042,0,35,440,103,0,0,0,1,1
30541,2,38,0,39,0,0,0,0,1
29902,1,54,688,379,0,0,0,0,1
6663,2,27,110,135,0,0,0,1,1
20848,1,42,1493,78,0,0,0,0,1
37890,2,31,342,117,0,0,0,1,1
39410,1,53,655,103,0,0,0,0,1
34267,0,51,734,17,0,0,0,0,1
12152,1,35,883,18,0,0,0,1,0
44520,2,22,224,5,0,0,1,1,1
15293,2,33,3269,316,0,0,0,0,1
28471,2,33,-53,617,0,0,0,0,1
15378,1,32,-203,67,0,0,0,1,0
8433,1,38,1221,258,0,0,0,1,1
28162,0,38,478,73,0,0,0,1,1
23912,1,45,183,27,0,0,0,0,1
28729,1,31,227,154,0,0,0,1,0
44478,1,77,1385,160,0,0,1,0,1
37129,0,40,282,240,0,0,0,1,1
15812,1,43,8,564,0,0,0,0,1
19906,1,41,3353,51,0,0,1,0,1
40063,2,27,138,89,1,0,0,1,1
22019,2,33,213,152,0,0,0,1,1
33062,2,30,63,260,0,0,0,0,1
20292,2,31,762,312,0,0,0,0,1
13684,1,34,-319,134,0,0,0,1,0
40495,1,47,677,384,0,0,0,0,1
41207,1,62,565,123,0,0,0,0,1
8249,1,58,2084,75,0,0,0,0,1
34273,2,30,0,57,0,0,0,1,1
6727,1,27,58,82,0,0,0,1,0
435,1,55,183,150,0,0,0,0,1
17327,2,31,20,141,0,0,0,1,1
27143,2,33,920,58,0,0,0,1,1
19743,1,52,1493,94,0,0,0,0,1
36319,2,27,541,341,0,0,0,0,1
13792,1,51,0,324,0,0,0,0,1
42743,2,30,4448,112,1,0,1,0,1
1692,2,35,337,127,0,0,0,1,1
43957,0,31,414,241,1,0,0,1,1
31505,2,30,297,465,1,0,0,0,1
966,2,29,703,129,0,0,0,1,1
16334,2,25,323,98,0,0,0,1,1
22236,1,55,0,64,0,0,0,0,1
8969,1,53,1630,160,0,0,0,0,1
32264,1,24,0,284,0,0,0,1,0
24630,1,35,3329,166,0,0,0,1,1
31561,1,33,0,487,0,0,0,1,1
26735,1,44,4580,192,0,0,1,0,1
20706,1,55,23,123,0,0,0,0,1
33320,2,34,1477,233,0,0,0,0,1
31621,1,32,303,150,1,0,0,1,0
22537,0,41,369,9,0,0,0,1,1
24414,1,44,0,58,0,0,0,0,1
24288,1,31,1144,89,0,0,0,1,0
16309,1,54,1319,70,0,0,0,0,1
39681,1,38,5115,318,1,0,1,0,1
36994,2,36,1129,444,0,0,0,0,1
6950,1,53,3443,48,0,0,0,0,1
31642,2,39,1048,201,0,0,0,0,1
24655,1,42,2249,228,0,0,0,0,1
14559,1,60,1091,778,0,0,1,0,1
29096,0,58,5701,521,1,0,1,0,1
17189,1,40,-496,22,0,0,0,1,1
107,1,34,61,21,0,0,0,1,0
44619,1,34,937,405,0,0,0,1,1
36320,1,41,849,100,0,0,0,1,1
2370,1,29,0,53,0,0,0,1,0
12971,1,46,14,407,0,0,0,0,1
31032,2,30,6836,30,0,0,1,0,1
16140,1,59,292,246,0,0,0,0,1
19990,1,46,269,188,0,0,0,0,1
40254,1,67,694,250,0,0,1,0,1
32061,1,34,352,288,0,0,0,1,0
38190,1,29,47,245,0,0,0,1,0
11938,1,52,649,7,0,0,0,0,1
29423,0,36,102,306,0,0,0,0,1
25967,1,53,32464,135,0,-1,1,0,1
37534,1,30,-97,255,0,0,0,1,0
3956,2,30,298,164,0,0,0,1,1
15975,1,48,380,188,0,0,0,0,1
24751,0,50,330,281,0,0,0,0,1
2274,1,32,-24,93,0,0,0,1,0
42200,2,30,1681,329,1,0,0,0,1
34782,1,47,-216,197,0,0,0,0,1
32396,1,35,293,1017,1,0,1,0,1
20173,1,57,2785,610,1,0,1,0,1
1012,2,39,406,68,0,0,0,0,1
24428,1,52,4504,268,0,0,1,0,1
32802,1,33,90,170,0,0,0,1,0
29934,2,28,198,976,1,0,1,0,1
44183,2,41,1646,172,1,0,0,0,1
1347,1,58,5,177,0,0,0,0,1
42502,1,50,51,199,0,0,0,0,1
32263,1,50,469,161,1,0,0,0,1
9985,1,46,399,699,0,0,1,0,1
33063,1,35,1345,163,0,0,0,1,0
9818,2,38,840,176,0,0,0,0,1
13184,1,33,1,135,0,0,0,1,0
32927,1,37,903,124,0,0,0,1,0
4054,1,35,474,55,0,0,0,1,0
35581,1,52,33,301,0,0,0,0,1
12032,1,56,277,9,0,0,0,0,1
5867,1,29,484,629,0,0,0,0,1
15318,1,31,557,111,0,0,0,1,0
35469,0,41,639,88,0,0,0,1,1
22551,2,33,0,135,0,0,0,1,1
11634,1,37,1818,193,0,0,0,1,1
7926,2,35,1609,288,0,0,0,0,1
23456,1,46,-3,205,0,0,0,0,1
2996,1,60,703,378,0,0,0,0,1
31324,2,38,2422,257,0,0,0,0,1
12607,1,36,59,100,0,0,0,1,0
3225,1,44,1033,71,0,0,0,0,1
26838,2,41,1982,558,1,0,1,0,1
21682,1,53,0,160,0,0,0,0,1
22114,1,54,77,180,0,0,0,0,1
23784,0,48,105,520,0,0,0,0,1
14713,2,33,-325,159,0,0,0,1,1
44264,2,36,353,361,1,0,0,0,1
14233,1,47,568,256,0,0,0,0,1
38861,2,33,135,153,0,0,0,1,1
17844,1,55,715,90,0,0,0,0,1
15873,1,46,5169,72,0,0,1,0,1
44434,2,29,1584,245,1,0,0,0,1
4875,1,31,1343,85,0,0,0,1,0
15970,2,29,652,285,0,0,0,0,1
5559,2,28,-303,277,0,0,0,1,1
27791,2,43,181,41,0,0,0,0,1
35330,1,57,1577,908,0,0,1,0,1
9623,1,60,2586,150,0,0,0,0,1
941,2,31,-45,246,0,0,0,0,1
10993,0,55,0,76,0,0,0,0,1
35443,1,34,1243,157,0,0,0,1,0
10709,2,60,470,100,0,0,0,0,1
4767,1,39,5,167,0,0,0,1,1
1575,1,40,523,598,0,0,0,0,1
15315,2,34,4963,226,0,0,0,0,1
15136,1,41,0,18,0,0,0,1,1
6524,0,49,15,550,0,0,0,0,1
33282,1,30,312,476,0,0,0,1,1
11646,0,56,-1968,60,0,0,1,0,1
331,1,42,57,425,0,0,0,0,1
22683,0,55,407,65,0,0,0,0,1
33681,2,26,6791,164,0,0,1,0,1
14343,0,42,-291,129,0,0,0,1,1
29422,2,32,5874,298,0,0,1,0,1
15933,1,36,399,139,0,0,0,1,0
2647,0,36,719,1052,0,0,1,0,1
3011,1,48,638,217,0,0,0,0,1
24513,2,41,7595,1121,0,0,1,0,1
11430,1,46,1844,29,0,0,0,0,1
31227,0,76,3049,170,1,0,1,0,1
37905,2,27,-145,289,0,0,0,1,1
18933,2,31,83,144,0,0,0,1,1
32908,2,22,3982,206,1,0,1,0,1
12541,2,48,31,154,0,0,0,0,1
30890,1,85,12114,165,1,-1,1,0,1
37456,1,48,503,105,0,0,0,0,1
13504,1,55,101,111,0,0,0,0,1
10512,2,29,510,179,0,0,0,1,1
35748,1,43,56,612,0,0,0,0,1
32159,2,31,1205,462,0,0,0,0,1
1182,1,38,54,180,0,0,0,1,0
33752,1,42,1559,368,1,0,0,0,1
26267,0,48,3520,73,0,0,0,0,1
15134,1,31,-30,804,0,0,0,0,1
18843,2,30,1673,200,0,0,0,0,1
39087,2,27,1842,687,0,0,1,0,1
27562,1,42,5,1067,0,0,1,0,1
2633,1,27,-588,531,0,0,1,1,1
21285,1,45,1629,58,0,0,0,0,1
21984,0,55,35,126,0,0,0,0,1
32440,1,54,551,251,0,0,0,0,1
28307,1,27,2735,205,0,0,1,1,0
38712,1,30,1211,176,0,0,0,1,0
26931,1,33,695,148,0,0,0,1,0
6390,1,40,-666,107,0,0,0,1,1
33075,1,42,0,72,0,0,0,1,1
25543,2,41,81,212,0,0,0,0,1
19372,1,48,504,227,0,0,0,0,1
12564,1,54,42,389,0,0,0,0,1
32607,0,38,382,397,0,0,0,0,1
32869,1,47,1203,239,0,0,0,0,1
41601,2,40,79,570,1,0,0,0,1
44844,2,31,410,182,1,0,0,1,1
28738,2,27,501,370,0,0,0,0,1
34930,1,40,1598,1074,1,0,1,0,1
8010,1,31,0,245,0,0,0,1,0
9953,1,35,-521,71,0,0,0,1,0
34451,0,33,1480,223,0,0,0,0,1
34393,2,29,197,19,0,0,0,1,1
41723,1,39,0,622,0,0,0,0,1
9435,1,52,9,44,0,0,0,0,1
43703,1,46,0,154,0,0,0,0,1
5902,1,33,0,192,0,0,0,1,0
42679,0,41,1232,217,0,0,0,1,1
10115,1,58,0,145,0,0,0,0,1
25529,2,30,2708,479,0,0,1,0,1
3389,2,26,192,477,0,0,0,0,1
2902,0,57,2439,32,0,0,0,0,1
39189,1,54,511,264,0,0,0,0,1
18884,1,50,133,155,0,0,0,0,1
21082,0,59,-134,217,0,0,0,0,1
21505,1,41,240,290,0,0,0,0,1
37764,1,35,1287,251,0,0,0,1,0
29845,1,32,2853,419,0,0,1,0,1
40113,1,57,9902,88,0,0,1,0,1
36957,2,35,88,272,0,0,0,0,1
17960,0,36,2178,74,0,0,0,0,1
31360,1,74,161,240,0,0,1,0,1
13523,1,45,335,89,0,0,0,0,1
41129,2,49,5689,470,1,0,1,0,1
32943,1,28,1086,1112,1,0,1,0,1
36338,1,43,238,178,0,0,0,0,1
13430,0,45,5758,16,0,0,1,0,1
41293,1,34,158,278,1,0,0,1,0
17983,1,59,3831,87,0,0,0,0,1
21139,2,32,1473,253,0,0,0,0,1
17750,1,54,3967,90,0,0,0,0,1
26485,1,59,1083,125,0,0,0,0,1
13718,2,39,4453,156,0,0,0,0,1
4942,0,49,2262,125,0,0,0,0,1
31172,1,61,5157,432,0,0,1,0,1
39831,1,36,352,94,0,0,0,1,0
40162,1,44,584,78,0,0,0,0,1
37554,1,32,-103,298,0,0,0,1,0
32381,0,42,5354,799,0,0,1,0,1
3148,0,57,3105,173,0,0,1,0,1
9037,2,38,13,21,0,0,0,0,1
27419,2,32,354,278,0,0,0,0,1
11492,0,46,2441,217,0,0,0,0,1
25662,0,57,18268,68,0,0,1,0,1
6408,2,24,84,570,0,0,0,0,1
27073,2,39,-529,18,0,0,0,0,1
16933,1,53,559,182,0,0,0,0,1
28546,2,29,1751,150,0,0,0,0,1
13560,1,48,425,693,0,0,0,0,1
12958,2,30,52,422,0,0,0,0,1
10212,1,41,2480,394,0,0,0,0,1
34933,1,30,-71,165,0,0,0,1,0
42978,2,40,334,219,1,0,0,0,1
27133,1,30,6432,206,0,0,1,0,1
26928,2,42,0,824,1,0,1,0,1
4585,1,38,205,359,0,0,0,1,1
44585,2,35,278,84,0,0,0,1,1
19277,1,32,560,1044,1,0,1,0,1
42887,1,46,2033,99,0,0,0,0,1
14078,1,57,8,93,0,0,0,0,1
7632,1,48,0,682,1,0,0,0,1
28445,1,38,99,191,0,0,0,1,0
26880,2,38,8669,228,0,0,1,0,1
33153,0,50,881,162,0,0,0,0,1
11109,1,29,-565,164,0,0,0,1,0
7394,1,31,3283,100,0,0,0,1,1
14658,1,48,3064,159,0,0,0,0,1
10510,1,40,256,95,0,0,0,1,1
22448,1,57,318,371,0,0,0,0,1
29156,0,40,1247,445,0,0,0,0,1
43909,2,27,4738,752,0,0,1,0,1
19671,1,40,162,256,0,0,0,1,1
38053,1,35,1265,326,1,0,0,1,1
8022,0,45,1309,144,0,0,0,0,1
12277,1,50,-253,43,0,0,0,0,1
27178,1,39,529,673,0,0,0,0,1
38631,2,33,2667,57,0,0,0,0,1
7965,2,31,17,52,0,0,0,1,1
39171,1,59,2239,431,1,0,1,0,1
42489,1,35,746,240,0,0,0,1,0
44817,2,28,11862,549,1,0,1,0,1
4036,2,31,532,90,0,0,0,1,1
3785,1,36,183,360,0,0,0,1,1
3996,1,53,2884,165,0,0,0,0,1
10097,1,38,634,105,0,0,0,1,0
11367,0,52,0,297,0,0,0,0,1
32710,1,30,495,384,0,0,0,1,0
43810,1,67,1948,844,0,0,1,0,1
19757,1,48,0,85,0,0,0,0,1
26046,0,30,3100,125,0,0,0,0,1
8217,1,34,1267,87,0,0,0,1,0
8928,1,49,266,39,0,0,0,0,1
10061,1,49,3478,484,0,0,1,0,1
26606,2,34,1995,129,0,0,0,0,1
27424,1,52,580,965,1,0,1,0,1
9487,0,37,319,467,1,0,0,0,1
5929,1,31,-502,523,0,0,0,1,1
11551,1,47,759,30,0,0,0,0,1
6681,1,31,298,154,0,0,0,1,0
43150,1,54,2102,547,1,0,1,0,1
24003,1,34,1012,540,1,0,0,0,1
28809,2,32,1,75,0,0,0,1,1
19016,1,58,1547,1186,1,0,1,0,1
11279,1,31,671,704,1,0,0,0,1
41671,1,32,400,76,0,0,0,1,0
14740,1,53,2818,350,0,0,1,0,1
3221,1,45,2217,126,0,0,0,0,1
38835,2,29,797,334,0,0,0,0,1
12915,0,58,-354,98,0,0,0,0,1
43901,1,31,330,309,1,0,0,1,0
19227,0,39,5988,225,0,0,1,0,1
2828,1,49,1160,153,0,0,0,0,1
14981,1,37,33,117,0,0,0,1,0
29316,2,47,152,193,0,0,0,0,1
11886,0,59,0,13,0,0,0,0,1
21600,2,34,82,292,0,0,0,0,1
11683,0,48,7,633,0,0,0,0,1
22224,1,53,0,195,0,0,0,0,1
29619,1,36,0,235,0,0,0,1,0
23638,1,33,95,26,0,0,0,1,0
26732,0,37,1559,178,0,0,0,0,1
1494,0,50,704,233,0,0,0,0,1
24964,2,32,48,132,0,0,0,1,1
11928,0,35,118,12,0,0,0,1,1
318,2,40,0,136,0,0,0,0,1
7556,2,30,931,65,0,0,0,1,1
16725,2,31,0,362,0,0,0,0,1
16911,1,33,91,113,0,0,0,1,0
43754,2,49,293,452,1,0,0,0,1
36599,1,31,2581,240,0,0,0,1,0
10549,0,36,638,1395,1,0,1,0,1
25926,1,54,0,307,0,0,0,0,1
10231,2,38,797,124,0,0,0,0,1
30263,2,28,440,177,0,0,0,1,1
22279,1,36,0,147,0,0,0,1,0
10688,2,53,725,227,0,0,0,0,1
44140,1,68,2812,392,1,0,1,0,1
1931,2,24,304,180,0,0,0,1,1
30311,2,26,449,339,0,0,0,0,1
20780,1,40,95,156,0,0,0,1,1
22235,0,33,6,239,0,0,0,1,1
35472,1,32,56,126,0,0,0,1,0
18503,1,59,-266,266,0,0,0,0,1
2507,1,41,196,488,0,0,0,0,1
9749,1,46,39,74,0,0,0,0,1
3142,1,35,94,208,0,0,0,1,0
17054,1,41,1018,171,0,0,0,1,1
22009,1,35,109,257,0,0,0,1,0
34729,2,38,613,285,0,0,0,0,1
43543,2,27,567,523,1,0,0,0,1
543,2,40,11,43,0,0,0,0,1
18155,0,56,1939,121,0,0,0,0,1
38433,1,45,72,262,0,0,0,0,1
36430,1,46,38,455,0,0,0,0,1
29420,1,31,845,148,0,0,0,1,0
11295,1,53,357,154,0,0,0,0,1
