,Unnamed: 0,black,population,householdsize,agePct12t21,agePct12t29,agePct16t24,agePct65up,numbUrban,pctUrban,medIncome,pctWWage,pctWFarmSelf,pctWSocSec,pctWRetire,medFamInc,perCapInc,PctLess9thGrade,PctNotHSGrad,PctBSorMore,PctUnemployed,PctEmploy,PctEmplManu,PctEmplProfServ,PctOccupManu,PctOccupMgmtProf,MalePctDivorce,MalePctNevMarr,FemalePctDiv,TotalPctDiv,PersPerFam,PctFam2Par,PctKids2Par,PctYoungKids2Par,PctTeen2Par,PctWorkMomYoungKids,PctWorkMom,PctLargHouseFam,PctLargHouseOccup,PersPerOccupHous,PersPerOwnOccHous,PersPerRentOccHous,PctPersOwnOccup,PctPersDenseHous,PctHousLess3BR,MedNumBR,HousVacant,PctHousOccup,PctHousOwnOcc,PctVacantBoarded,PctVacMore6Mos,MedYrHousBuilt,PctHousNoPhone,PctWOFullPlumb,OwnOccLowQuart,OwnOccMedVal,OwnOccHiQuart,RentLowQ,RentMedian,RentHighQ,MedRent,MedRentPctHousInc,MedOwnCostPctInc,MedOwnCostPctIncNoMtg,NumInShelters,LandArea,PopDens,PctUsePubTrans,LemasPctOfficDrugUn,GroundTruth,GroundTruth_DB,FairDEN,Scalable,FairSC_normalized,FairSC,FairDen,Fairlet_MCF Fairlet2
10,10,0,0.13,0.71,0.4,0.52,0.35,0.33,0.15,1.0,0.49,0.71,0.16,0.36,0.45,0.47,0.33,0.33,0.36,0.38,0.32,0.62,0.2,0.29,0.35,0.3,0.41,0.55,0.46,0.46,0.85,0.62,0.56,0.68,0.62,0.83,0.81,0.88,0.82,0.77,0.79,0.72,0.49,0.91,0.63,0.0,0.06,0.87,0.49,0.1,0.2,0.46,0.05,0.28,0.75,0.74,0.7,0.73,0.67,0.82,0.67,0.58,0.67,0.19,0.07,0.02,1.0,1.0,0.0,0,-1,1,0,1,1,1,0
11,11,0,0.02,0.46,0.34,0.36,0.22,0.57,0.04,1.0,0.72,0.53,0.23,0.63,0.59,0.8,0.72,0.18,0.19,0.72,0.18,0.51,0.18,0.67,0.13,0.79,0.18,0.4,0.24,0.22,0.59,0.85,0.87,0.89,0.78,0.31,0.39,0.34,0.31,0.5,0.64,0.2,0.72,0.09,0.41,0.5,0.02,0.89,0.62,0.07,0.43,0.06,0.02,0.09,0.74,0.76,0.79,0.45,0.54,0.65,0.49,0.39,0.51,0.68,0.01,0.01,0.63,1.0,0.0,0,-1,0,0,0,0,0,0
12,12,1,0.03,0.47,0.29,0.32,0.2,0.52,0.04,1.0,0.8,0.55,0.18,0.51,0.55,0.82,0.78,0.07,0.07,0.89,0.24,0.55,0.29,0.73,0.1,0.88,0.13,0.38,0.2,0.18,0.5,0.87,0.9,0.87,0.73,0.33,0.48,0.18,0.19,0.5,0.55,0.25,0.83,0.02,0.25,0.5,0.01,0.94,0.78,0.0,0.26,0.29,0.01,0.15,0.71,0.69,0.68,0.6,0.82,1.0,0.87,0.4,0.39,0.46,0.0,0.03,0.18,0.59,0.0,0,-1,0,0,0,0,0,0
13,13,1,0.01,0.44,0.35,0.53,0.32,0.23,0.02,0.77,0.46,0.77,0.41,0.28,0.22,0.47,0.41,0.2,0.22,0.42,0.13,0.76,0.67,0.24,0.42,0.47,0.37,0.39,0.27,0.32,0.47,0.88,0.92,0.88,0.82,0.56,0.6,0.14,0.14,0.45,0.63,0.19,0.65,0.04,0.45,0.5,0.01,0.92,0.55,0.05,0.21,0.85,0.08,0.07,0.19,0.18,0.18,0.35,0.32,0.32,0.29,0.16,0.35,0.26,0.01,0.08,0.04,0.0,0.0,0,-1,0,0,0,0,0,0
14,14,1,0.04,0.36,0.32,0.46,0.3,0.31,0.05,1.0,0.71,0.67,0.42,0.25,0.36,0.7,0.79,0.11,0.14,0.58,0.19,0.68,0.28,0.35,0.15,0.61,0.6,0.5,0.68,0.66,0.35,0.66,0.68,0.87,0.59,0.3,0.3,0.26,0.22,0.39,0.37,0.45,0.47,0.21,0.54,0.5,0.1,0.43,0.5,0.0,0.19,0.79,0.07,0.07,0.88,0.93,0.97,0.96,0.91,1.0,0.87,0.55,0.81,0.21,0.0,0.02,0.4,0.15,0.0,0,-1,1,0,0,0,1,0
15,15,1,0.03,0.34,0.39,0.41,0.28,0.58,0.0,0.0,0.18,0.42,0.81,0.62,0.41,0.21,0.22,0.3,0.37,0.24,0.32,0.42,0.38,0.48,0.48,0.36,0.5,0.34,0.45,0.49,0.38,0.55,0.6,0.61,0.52,0.64,0.71,0.14,0.12,0.32,0.39,0.22,0.62,0.04,0.53,0.5,0.04,0.76,0.58,0.41,0.47,0.25,0.24,0.44,0.04,0.04,0.05,0.1,0.13,0.14,0.13,0.4,0.2,0.35,0.01,0.04,0.15,0.04,0.0,0,-1,0,1,0,0,0,0
16,16,0,0.15,0.31,0.58,0.72,0.65,0.47,0.16,1.0,0.22,0.52,0.1,0.48,0.51,0.3,0.29,0.3,0.38,0.47,0.37,0.44,0.08,0.73,0.21,0.53,0.5,0.94,0.45,0.49,0.36,0.2,0.25,0.25,0.19,0.61,0.65,0.22,0.13,0.21,0.33,0.22,0.24,0.1,0.6,0.0,0.22,0.64,0.22,0.79,0.6,0.0,0.4,0.26,0.23,0.23,0.23,0.31,0.32,0.36,0.33,0.52,0.35,0.4,0.23,0.06,0.39,0.84,0.88,0,-1,1,1,0,0,1,0
17,17,1,0.01,0.53,0.34,0.39,0.27,0.36,0.02,0.76,0.79,0.77,0.13,0.44,0.56,0.75,0.69,0.1,0.18,0.58,0.11,0.68,0.42,0.37,0.21,0.66,0.25,0.4,0.25,0.26,0.52,0.88,0.88,0.97,0.74,0.51,0.48,0.2,0.21,0.57,0.58,0.34,0.89,0.04,0.27,0.5,0.01,0.88,0.86,0.25,0.54,0.33,0.03,0.08,0.5,0.49,0.5,0.8,0.76,0.96,0.8,0.69,0.52,0.65,0.0,0.03,0.09,0.21,0.0,0,-1,0,0,0,0,0,0
18,18,1,0.02,0.47,0.7,0.67,0.63,0.37,0.0,0.0,0.33,0.56,0.28,0.43,0.4,0.41,0.34,0.16,0.24,0.45,0.19,0.48,0.36,0.77,0.25,0.56,0.38,0.58,0.43,0.43,0.41,0.66,0.73,0.72,0.63,0.53,0.6,0.12,0.11,0.33,0.49,0.19,0.54,0.06,0.55,0.5,0.01,0.89,0.46,0.27,0.43,0.5,0.12,0.05,0.14,0.14,0.14,0.27,0.29,0.3,0.3,0.45,0.22,0.28,0.0,0.03,0.2,0.07,0.0,0,-1,0,1,0,0,0,0
19,19,1,0.0,0.41,0.37,0.37,0.24,0.55,0.01,0.58,0.23,0.34,0.33,0.7,0.87,0.24,0.22,0.27,0.38,0.19,0.72,0.25,0.39,0.35,0.49,0.34,0.31,0.29,0.27,0.3,0.41,0.76,0.74,0.83,0.89,0.45,0.31,0.1,0.12,0.46,0.45,0.41,0.83,0.04,0.42,0.5,0.01,0.75,0.83,0.31,0.84,0.44,0.05,0.18,0.08,0.09,0.1,0.06,0.12,0.15,0.2,0.19,0.2,0.28,0.0,0.09,0.03,0.05,0.0,0,-1,0,1,0,0,0,0
20,20,1,0.25,0.54,0.42,0.48,0.28,0.32,0.26,1.0,0.33,0.55,0.37,0.39,0.44,0.32,0.29,0.34,0.43,0.24,0.59,0.43,0.38,0.41,0.43,0.36,0.6,0.35,0.68,0.67,0.6,0.6,0.61,0.64,0.61,0.3,0.3,0.43,0.39,0.56,0.54,0.6,0.47,0.39,0.48,0.5,0.15,0.83,0.49,0.09,0.16,0.73,0.14,0.28,0.31,0.31,0.31,0.4,0.4,0.45,0.4,0.65,0.59,0.21,0.12,0.09,0.46,0.05,0.76,0,-1,0,1,0,0,0,0
21,21,0,1.0,0.42,0.41,0.53,0.34,0.33,1.0,0.99,0.28,0.62,0.16,0.4,0.45,0.29,0.3,0.25,0.39,0.28,0.3,0.59,0.18,0.33,0.35,0.38,0.69,0.41,0.71,0.73,0.47,0.53,0.51,0.59,0.51,0.55,0.56,0.23,0.2,0.42,0.46,0.4,0.55,0.2,0.49,0.5,1.0,0.6,0.54,0.52,0.44,0.63,0.37,0.23,0.11,0.11,0.13,0.25,0.28,0.32,0.3,0.45,0.41,0.32,0.39,1.0,0.07,0.15,0.31,0,-1,1,1,0,0,1,1
22,22,1,0.01,0.34,0.49,0.56,0.43,0.47,0.0,0.0,0.13,0.4,0.26,0.52,0.41,0.17,0.2,0.31,0.42,0.24,0.63,0.32,0.45,0.44,0.56,0.34,0.72,0.49,0.69,0.72,0.4,0.49,0.53,0.47,0.68,0.37,0.48,0.23,0.18,0.32,0.37,0.32,0.38,0.18,0.71,0.0,0.03,0.68,0.38,0.33,0.4,0.23,0.54,0.29,0.06,0.06,0.08,0.14,0.17,0.18,0.16,0.54,0.38,0.42,0.05,0.05,0.09,0.06,0.0,0,-1,0,1,0,0,0,0
23,23,1,0.11,0.43,0.45,0.48,0.31,0.46,0.13,1.0,0.22,0.52,0.44,0.56,0.39,0.25,0.25,0.29,0.37,0.27,0.33,0.53,0.43,0.47,0.44,0.33,0.48,0.39,0.48,0.5,0.49,0.59,0.61,0.51,0.66,0.68,0.71,0.27,0.24,0.43,0.48,0.35,0.64,0.12,0.56,0.0,0.09,0.8,0.61,0.45,0.43,0.19,0.34,0.25,0.05,0.04,0.05,0.14,0.17,0.18,0.17,0.44,0.2,0.43,0.05,0.16,0.12,0.07,0.56,0,-1,0,1,0,0,0,0
24,24,1,0.02,0.96,0.54,0.58,0.39,0.33,0.0,0.0,0.16,0.61,0.41,0.49,0.28,0.12,0.08,1.0,1.0,0.1,1.0,0.22,0.09,0.26,0.32,0.16,0.28,0.49,0.36,0.33,1.0,0.54,0.46,0.42,0.6,0.47,0.47,1.0,1.0,1.0,1.0,1.0,0.39,1.0,0.63,0.0,0.01,0.87,0.42,0.15,0.29,0.54,0.52,1.0,0.14,0.12,0.1,0.18,0.22,0.23,0.22,0.5,0.55,0.21,0.0,0.02,0.22,0.02,0.0,0,-1,1,1,1,1,1,0
25,25,1,0.0,0.33,0.55,0.63,0.53,0.31,0.02,1.0,0.29,0.64,0.6,0.3,0.41,0.32,0.34,0.11,0.18,0.54,0.3,0.56,0.33,0.53,0.31,0.58,0.6,0.73,0.66,0.64,0.28,0.58,0.6,0.75,0.59,0.65,0.67,0.08,0.08,0.24,0.3,0.23,0.49,0.09,0.61,0.0,0.02,0.7,0.47,0.1,0.34,0.65,0.19,0.18,0.22,0.2,0.21,0.32,0.31,0.33,0.28,0.55,0.59,0.39,0.0,0.02,0.15,0.16,0.0,0,-1,0,1,0,0,0,0
26,26,0,0.06,0.49,0.35,0.5,0.32,0.34,0.08,1.0,0.35,0.68,0.16,0.36,0.34,0.34,0.32,0.35,0.46,0.25,0.35,0.57,0.62,0.23,0.42,0.32,0.55,0.59,0.65,0.62,0.58,0.47,0.47,0.61,0.46,0.56,0.49,0.46,0.4,0.51,0.48,0.56,0.3,0.81,0.79,0.0,0.05,0.83,0.33,0.08,0.12,0.42,0.15,0.34,0.54,0.52,0.5,0.6,0.57,0.63,0.56,0.62,0.48,0.11,0.0,0.01,0.79,0.21,0.0,1,-1,1,1,0,0,1,0
27,27,1,0.01,0.37,0.35,0.38,0.23,0.59,0.0,0.0,0.23,0.38,0.39,0.64,0.63,0.24,0.23,0.3,0.45,0.16,0.34,0.37,0.78,0.35,0.71,0.25,0.51,0.25,0.47,0.5,0.4,0.65,0.68,0.76,0.59,0.27,0.42,0.13,0.13,0.38,0.41,0.32,0.66,0.03,0.4,0.5,0.02,0.82,0.64,0.3,0.61,0.27,0.33,0.32,0.07,0.06,0.07,0.13,0.14,0.13,0.17,0.42,0.27,0.26,0.0,0.04,0.09,0.0,0.0,0,-1,0,1,0,0,0,0
28,28,0,0.01,0.27,0.36,0.33,0.22,0.74,0.0,0.0,0.12,0.1,0.11,0.84,0.82,0.21,0.25,0.46,0.49,0.3,0.54,0.13,0.05,0.77,0.18,0.57,0.61,0.33,0.58,0.63,0.35,0.41,0.44,0.42,0.55,0.23,0.4,0.16,0.13,0.26,0.26,0.3,0.53,0.07,0.53,0.5,0.06,0.5,0.54,0.3,0.85,0.29,0.48,0.22,0.07,0.07,0.09,0.1,0.14,0.16,0.15,0.62,0.36,0.26,0.01,0.02,0.17,0.0,0.0,0,-1,0,1,0,0,0,0
29,29,1,0.0,0.5,0.31,0.4,0.23,0.25,0.0,0.0,0.6,0.83,0.25,0.26,0.31,0.58,0.48,0.18,0.27,0.44,0.22,0.81,0.52,0.47,0.27,0.57,0.41,0.35,0.38,0.4,0.47,0.83,0.83,0.79,0.81,0.7,0.82,0.14,0.15,0.51,0.55,0.29,0.81,0.04,0.38,0.5,0.02,0.57,0.77,0.04,0.74,0.48,0.07,0.23,0.43,0.42,0.39,0.43,0.49,0.6,0.54,0.28,0.63,0.35,0.0,0.1,0.02,0.08,0.0,0,-1,0,0,0,0,0,0
30,30,1,0.01,0.3,0.38,0.37,0.27,0.74,0.0,0.0,0.16,0.24,0.24,0.73,0.49,0.21,0.25,0.62,0.61,0.26,0.24,0.27,0.45,0.37,0.5,0.42,0.54,0.22,0.54,0.57,0.28,0.63,0.63,0.75,0.6,0.35,0.54,0.06,0.06,0.27,0.33,0.23,0.53,0.05,0.46,0.5,0.01,0.8,0.5,0.1,0.38,0.54,0.37,0.07,0.1,0.1,0.11,0.06,0.09,0.11,0.12,0.58,0.25,0.28,0.0,0.04,0.07,0.01,0.0,0,-1,0,1,0,0,0,0
31,31,0,0.29,0.34,0.4,0.52,0.35,0.42,0.31,1.0,0.25,0.57,0.32,0.49,0.47,0.28,0.29,0.19,0.31,0.29,0.28,0.6,0.28,0.4,0.39,0.34,0.63,0.44,0.62,0.65,0.41,0.51,0.53,0.54,0.55,0.7,0.74,0.2,0.17,0.33,0.4,0.25,0.58,0.12,0.63,0.0,0.26,0.78,0.54,0.84,0.51,0.29,0.24,0.25,0.08,0.07,0.07,0.25,0.27,0.28,0.27,0.53,0.39,0.49,0.18,0.22,0.21,0.2,0.0,0,-1,0,1,0,0,0,0
32,32,0,0.04,0.37,1.0,1.0,1.0,0.14,0.05,1.0,0.02,0.77,0.57,0.13,0.16,0.32,0.17,0.18,0.18,0.82,0.42,0.23,0.19,1.0,0.25,0.67,0.09,1.0,0.16,0.13,0.38,0.55,0.53,0.59,0.54,0.68,0.69,0.14,0.07,0.25,0.41,0.22,0.24,0.14,0.71,0.0,0.06,0.66,0.21,0.07,0.24,0.77,0.27,0.1,0.16,0.16,0.18,0.18,0.21,0.26,0.21,1.0,0.16,0.24,0.0,0.09,0.09,0.01,0.0,0,-1,1,1,0,0,1,0
33,33,0,0.09,0.43,0.58,0.56,0.5,0.52,0.1,1.0,0.2,0.42,0.21,0.65,0.52,0.24,0.26,0.47,0.53,0.34,0.36,0.38,0.44,0.63,0.43,0.42,0.48,0.53,0.5,0.52,0.39,0.41,0.42,0.44,0.48,0.57,0.62,0.18,0.16,0.34,0.38,0.32,0.5,0.08,0.51,0.5,0.11,0.69,0.49,0.33,0.51,0.44,0.42,0.17,0.08,0.09,0.11,0.12,0.18,0.21,0.19,0.4,0.18,0.35,0.03,0.14,0.11,0.19,0.6,0,-1,0,1,0,0,0,0
34,34,1,0.03,0.36,0.31,0.46,0.26,0.2,0.04,1.0,0.8,0.84,0.33,0.14,0.31,0.78,0.8,0.05,0.05,0.77,0.16,0.81,0.28,0.3,0.09,0.73,0.52,0.47,0.54,0.54,0.41,0.79,0.82,0.92,0.74,0.67,0.62,0.17,0.15,0.4,0.51,0.28,0.57,0.14,0.53,0.5,0.03,0.84,0.52,0.01,0.1,0.75,0.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,0.96,0.38,0.82,0.22,0.0,0.01,0.63,0.22,0.0,0,-1,1,0,0,0,1,0
35,35,0,0.19,0.3,0.36,0.46,0.3,0.56,0.2,1.0,0.19,0.44,0.19,0.6,0.5,0.23,0.25,0.38,0.48,0.22,0.45,0.43,0.46,0.43,0.53,0.31,0.69,0.37,0.67,0.71,0.36,0.47,0.49,0.49,0.45,0.64,0.66,0.14,0.12,0.29,0.35,0.24,0.53,0.09,0.67,0.0,0.28,0.63,0.5,0.37,0.56,0.27,0.4,0.13,0.06,0.06,0.06,0.16,0.17,0.19,0.18,0.46,0.24,0.37,0.05,0.12,0.26,0.09,0.34,0,-1,0,1,0,0,0,0
36,36,1,0.03,0.56,0.45,0.43,0.3,0.39,0.05,1.0,0.58,0.6,0.25,0.45,0.51,0.58,0.46,0.16,0.25,0.43,0.2,0.59,0.36,0.49,0.27,0.57,0.36,0.37,0.41,0.4,0.58,0.78,0.77,0.83,0.7,0.59,0.61,0.33,0.33,0.58,0.58,0.53,0.72,0.23,0.44,0.5,0.02,0.89,0.71,0.23,0.29,0.71,0.05,0.11,0.64,0.69,0.71,0.58,0.6,0.66,0.6,0.56,0.78,0.32,0.0,0.02,0.33,0.1,0.0,0,-1,0,0,0,0,0,0
37,37,1,0.01,0.52,0.36,0.39,0.26,0.87,0.0,0.0,0.18,0.09,0.49,0.93,0.75,0.17,0.14,0.69,0.64,0.12,0.34,0.19,0.58,0.26,0.67,0.24,0.3,0.28,0.31,0.32,0.58,0.62,0.59,0.58,0.5,0.21,0.34,0.73,0.64,0.51,0.32,0.87,0.5,0.54,0.74,0.0,0.01,0.92,0.62,0.17,0.38,0.65,0.38,0.3,0.1,0.08,0.07,0.25,0.26,0.25,0.26,0.56,0.55,0.32,0.01,0.01,0.27,0.04,0.0,0,-1,1,1,0,0,1,0
38,38,0,0.02,0.5,0.48,0.6,0.41,0.34,0.0,0.0,0.17,0.5,0.88,0.43,0.51,0.16,0.18,0.36,0.42,0.27,0.5,0.45,0.1,0.54,0.29,0.39,0.47,0.3,0.51,0.51,0.49,0.65,0.63,0.67,0.66,0.4,0.38,0.22,0.22,0.48,0.41,0.58,0.39,0.21,0.5,0.5,0.06,0.44,0.44,0.26,0.74,0.44,0.65,0.39,0.06,0.06,0.08,0.15,0.21,0.23,0.21,0.34,0.39,0.32,0.01,0.04,0.14,0.0,0.0,0,-1,0,1,0,0,0,0
39,39,0,0.01,0.14,0.18,0.69,0.26,0.04,0.0,0.0,0.58,0.98,0.18,0.0,0.0,0.68,0.78,0.04,0.03,0.98,0.16,0.98,0.47,0.5,0.1,0.85,0.53,0.6,0.45,0.5,0.31,0.75,0.81,0.82,0.69,0.34,0.41,0.05,0.04,0.16,0.38,0.11,0.31,0.09,0.88,0.0,0.05,0.5,0.24,0.02,0.27,0.9,0.03,0.11,0.51,0.55,0.57,0.76,0.64,0.67,0.66,0.34,0.73,0.58,0.0,0.03,0.1,0.53,0.0,0,-1,1,0,0,0,1,0
40,40,1,0.01,0.46,0.31,0.38,0.2,0.59,0.0,0.0,0.37,0.44,0.16,0.63,0.74,0.36,0.31,0.21,0.44,0.15,0.51,0.35,0.21,0.3,0.35,0.27,0.32,0.26,0.32,0.33,0.44,0.72,0.73,0.86,0.74,0.31,0.32,0.21,0.21,0.49,0.44,0.61,0.78,0.08,0.33,0.5,0.12,0.0,0.8,0.03,0.2,0.75,0.03,0.42,0.27,0.26,0.25,0.63,0.57,0.56,0.64,0.49,0.84,0.88,0.0,0.14,0.02,0.1,0.0,0,-1,1,0,0,0,1,0
41,41,0,0.06,0.37,0.31,0.42,0.26,0.62,0.08,1.0,0.32,0.46,0.2,0.65,0.63,0.35,0.32,0.49,0.58,0.24,0.33,0.49,0.61,0.43,0.59,0.32,0.39,0.39,0.41,0.42,0.45,0.67,0.68,0.74,0.66,0.63,0.72,0.19,0.17,0.39,0.53,0.22,0.6,0.08,0.58,0.0,0.04,0.86,0.52,0.12,0.49,0.33,0.1,0.2,0.3,0.29,0.26,0.25,0.36,0.42,0.34,0.49,0.54,0.53,0.0,0.04,0.31,0.2,0.0,0,-1,0,1,0,0,0,0
42,42,0,0.0,0.45,0.43,0.41,0.27,0.57,0.02,1.0,0.16,0.38,0.1,0.71,0.61,0.19,0.16,0.39,0.5,0.26,0.56,0.33,0.27,0.66,0.45,0.35,0.58,0.42,0.66,0.66,0.52,0.3,0.31,0.38,0.24,0.81,0.83,0.33,0.31,0.45,0.47,0.44,0.56,0.14,0.5,0.5,0.02,0.66,0.55,0.67,0.44,0.38,0.3,0.23,0.07,0.07,0.08,0.03,0.11,0.13,0.15,0.49,0.39,0.49,0.0,0.01,0.3,0.15,0.0,1,-1,0,1,0,0,0,0
