,Unnamed: 0,gender,age,fnlwgt,education_num,capital_gain,hours_per_week,GroundTruth,GroundTruth_DB,Scalable2,FairDEN2,FairSC_normalized2,FairSC2,Fairlet_MCF Fairlet2,Scalable3,FairDEN3,FairSC_normalized3,FairSC3,Fairlet_MCF Fairlet3,Scalable4,FairDEN4,FairSC_normalized4,FairSC4,Fairlet_MCF Fairlet4,Scalable5,FairDEN5,FairSC_normalized5,FairSC5,Fairlet_MCF Fairlet5,Scalable6,FairDEN6,FairSC_normalized6,FairSC6,Fairlet_MCF Fairlet6,Scalable7,FairDEN7,FairSC_normalized7,FairSC7,Fairlet_MCF Fairlet7,Scalable8,FairDEN8,FairSC_normalized8,FairSC8,Fairlet_MCF Fairlet8,Scalable9,FairDEN9,FairSC_normalized9,FairSC9,Fairlet_MCF Fairlet9,Scalable10,FairDEN10,FairSC_normalized10,FairSC10,Fairlet_MCF Fairlet10,FairDen2,FairDen3,FairDen4,FairDen5,FairDen6,FairDen7,FairDen8,FairDen9,FairDen10
49,20356,0,37,127918,10,0,20,0,-1,1,0,0,1,0,0,0,2,1,1,0,1,0,2,1,0,1,1,3,2,0,5,0,4,3,4,6,4,2,2,5,0,7,4,3,2,2,4,1,6,5,9,7,0,5,0,1,3,1,0,3,7,3,1
50,43135,0,51,237295,10,0,40,0,-1,1,0,0,1,0,2,1,2,1,1,3,0,0,0,1,3,2,4,3,2,1,1,4,4,0,5,0,4,3,1,2,1,7,4,3,7,0,7,1,6,9,2,9,0,0,0,0,0,0,2,6,1,2,0
51,32707,0,62,369734,9,0,40,0,-1,0,1,0,1,1,2,0,2,1,1,3,1,0,0,3,4,3,4,3,2,1,2,4,1,5,6,5,6,2,0,2,7,3,0,0,7,7,3,1,1,4,3,4,3,0,1,1,3,2,1,0,2,6,5
52,39221,1,44,366180,13,0,50,0,-1,0,1,1,0,0,0,0,1,0,1,2,1,3,3,1,4,4,0,0,2,2,2,1,1,4,6,2,6,2,1,0,0,3,0,0,5,2,0,1,1,4,9,4,3,0,1,1,3,4,1,3,7,3,1
53,42234,1,33,204374,14,0,38,0,-1,0,0,1,0,0,0,1,1,0,1,1,0,3,3,1,0,2,0,0,2,2,1,1,5,0,0,0,3,5,1,6,1,1,1,3,4,0,6,0,6,1,2,2,2,4,0,0,0,0,2,6,1,2,0
54,4303,1,30,65278,9,0,40,1,-1,1,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,2,1,4,2,3,4,3,3,0,4,1,5,1,1,5,3,0,3,3,0,4,8,8,6,6,0,3,4,5,0,0,0,0,5,2,3,5,9
55,20279,1,44,197462,9,0,40,0,-1,1,0,0,1,0,2,1,0,1,1,3,0,1,2,1,3,2,1,3,2,1,4,0,4,0,5,1,4,0,1,2,3,4,2,3,7,4,2,5,6,9,0,3,8,5,0,0,0,0,5,2,3,5,9
56,36257,1,59,258883,11,0,40,0,-1,1,0,1,0,0,2,0,2,1,1,3,1,0,2,1,3,4,1,3,2,1,2,0,4,3,5,2,1,0,1,2,0,4,2,0,7,2,2,1,1,9,9,0,5,0,0,1,3,4,1,3,7,3,1
57,32109,0,66,93318,9,0,40,0,-1,1,0,0,1,0,2,1,2,1,1,3,0,1,0,1,3,1,4,3,2,1,5,4,4,0,5,0,4,3,1,3,5,7,4,3,7,5,7,1,6,9,1,9,0,9,0,0,0,1,0,1,0,1,8
58,42698,0,24,175778,13,0,40,0,-1,0,0,0,1,0,0,1,2,1,1,1,0,0,0,1,1,2,4,3,2,2,1,4,1,3,2,0,6,6,2,4,1,5,6,3,4,0,5,3,6,1,2,6,9,0,0,0,0,0,2,6,1,2,0
59,35881,1,30,111567,10,0,40,1,-1,1,0,0,1,0,0,1,0,2,1,0,0,0,1,1,0,2,2,4,2,3,4,3,3,3,4,1,5,1,1,5,1,0,3,3,0,8,8,8,6,7,7,3,4,0,0,0,0,0,5,6,1,8,4
60,45485,1,34,245211,14,0,40,1,-1,0,0,1,0,0,0,1,1,0,1,1,0,3,3,1,4,1,0,0,2,2,5,1,5,0,0,0,3,5,1,6,5,1,1,3,3,5,6,0,6,1,1,2,2,7,0,0,0,1,0,1,0,1,8
61,25113,1,58,53481,13,0,70,0,-1,1,1,1,0,0,2,2,1,1,1,3,3,3,0,1,3,3,0,0,2,4,0,3,1,0,0,4,0,2,1,3,4,2,0,3,4,1,1,6,6,0,5,1,7,4,1,2,1,2,4,5,4,4,6
62,40840,1,36,101192,9,0,40,1,-1,1,0,0,1,0,1,1,0,1,1,0,0,1,0,1,0,2,1,4,2,3,4,3,3,0,4,1,5,1,1,5,3,0,3,3,0,4,8,8,6,6,0,3,4,4,0,0,0,0,5,2,3,5,9
63,25956,1,46,63299,9,0,50,0,-1,1,0,0,1,0,2,1,2,1,1,3,1,1,0,1,3,1,1,4,2,3,5,3,1,0,4,6,0,0,1,3,5,2,2,3,0,5,8,6,6,6,1,3,7,0,0,0,3,1,0,1,0,1,8
64,46629,1,67,116502,9,0,30,0,-1,1,1,0,1,0,2,0,2,1,1,3,1,1,2,1,3,4,1,3,2,1,2,0,4,3,5,2,1,0,2,7,0,4,2,3,7,7,2,5,6,9,3,0,5,5,1,1,3,4,1,3,7,6,5
65,44755,1,17,260978,7,0,14,0,-1,0,0,0,1,0,1,0,0,2,1,2,1,2,1,1,2,1,2,2,2,0,5,2,0,3,3,6,5,1,2,1,0,0,3,3,2,2,0,8,6,5,9,5,4,5,0,1,3,1,0,3,7,3,1
66,24573,1,35,140854,9,0,60,0,-1,1,0,1,1,0,1,1,2,1,1,1,0,1,0,1,0,1,1,3,2,3,5,3,1,0,4,0,0,2,1,3,5,2,0,3,1,5,1,6,6,0,1,1,7,9,0,0,0,1,0,1,0,1,8
67,15769,1,32,123291,8,0,40,0,-1,1,0,0,1,0,1,1,0,2,1,0,0,1,1,1,2,2,1,4,2,3,1,3,3,0,4,0,5,1,1,1,1,0,3,3,0,0,8,8,6,6,2,3,4,5,0,0,0,0,2,6,1,2,0
68,21240,1,54,175262,4,0,40,0,-1,1,1,0,1,0,2,0,0,1,1,3,1,1,2,1,2,4,1,3,2,5,2,0,4,3,1,2,1,0,2,7,0,4,2,3,8,2,2,1,6,8,9,0,5,0,1,1,3,4,1,3,7,3,1
69,4524,1,19,39026,9,0,30,0,-1,1,0,0,1,0,0,0,0,2,2,0,1,2,1,2,1,4,2,4,2,0,2,2,3,2,4,2,5,1,5,5,0,0,3,4,0,2,8,8,5,7,9,3,4,6,0,1,3,4,1,3,7,3,1
70,41193,0,27,89813,13,0,40,0,-1,1,0,0,1,0,0,1,2,1,1,0,0,0,0,1,0,2,4,3,2,2,1,4,1,0,2,0,6,6,1,5,1,5,6,3,4,0,5,3,6,1,2,6,9,4,0,0,0,0,2,6,1,2,0
71,35280,0,39,219137,12,0,40,0,-1,0,0,0,1,0,0,1,2,1,1,1,0,0,0,1,4,2,4,3,2,2,1,4,1,0,0,0,6,6,1,6,1,5,6,3,3,0,5,3,6,1,2,6,9,5,0,0,0,0,2,6,1,2,0
72,11335,0,43,281422,12,0,45,0,-1,0,0,0,1,0,2,0,2,1,1,1,1,0,0,1,4,4,4,3,2,2,2,4,1,0,6,6,6,6,1,6,0,5,6,3,5,2,5,3,6,4,9,6,3,0,0,1,3,4,1,3,7,3,1
73,21531,1,25,152503,10,0,40,0,-1,0,0,0,1,0,1,1,0,2,1,1,0,2,1,1,1,2,2,4,2,0,4,2,3,0,2,1,5,1,1,4,1,0,3,3,6,8,8,4,6,7,7,3,8,5,0,0,0,0,5,6,1,8,4
74,25109,1,34,195602,12,0,44,0,-1,0,0,1,0,0,0,1,1,0,1,1,0,3,3,1,0,1,0,0,2,2,5,1,5,0,0,0,3,5,1,6,5,1,1,3,4,5,6,0,2,1,1,2,2,4,0,0,0,1,0,1,0,1,8
75,31872,0,61,153408,14,0,40,1,-1,1,0,1,1,0,2,0,2,1,1,3,1,0,0,1,3,1,4,3,2,4,5,4,1,0,0,6,6,6,4,6,5,5,6,3,3,2,5,3,2,2,9,6,9,4,0,1,3,1,0,3,0,3,1
76,1175,1,58,169982,10,0,40,1,-1,1,0,0,1,0,2,1,2,1,1,3,0,1,2,1,3,2,1,3,2,1,4,0,4,3,5,1,1,0,1,2,1,4,2,3,7,8,2,5,6,9,7,0,5,0,0,0,0,0,5,6,1,8,4
77,19825,1,31,164190,6,0,40,0,-1,1,0,0,1,0,1,0,0,2,1,1,1,2,1,1,2,1,2,2,2,5,5,2,0,3,3,6,5,1,1,1,5,0,3,3,6,5,0,1,6,8,1,3,4,5,0,1,3,1,0,1,0,1,8
78,20188,1,50,65160,13,0,40,0,-1,1,0,1,0,0,2,1,1,0,1,3,0,3,3,1,3,2,0,0,2,4,1,1,5,5,0,0,3,5,1,6,1,1,1,3,3,0,6,0,6,2,2,2,2,0,0,0,0,0,2,6,1,2,0
79,2004,1,39,192337,13,0,50,0,-1,1,0,1,0,0,0,1,1,0,1,1,0,3,3,1,3,1,0,0,2,2,5,1,5,0,0,0,3,5,1,6,5,1,1,3,4,5,6,0,6,1,1,2,2,4,0,0,0,1,0,1,0,1,8
80,7133,1,41,174395,14,0,40,1,-1,1,0,1,0,0,0,1,1,0,1,1,0,3,3,1,0,2,0,0,2,4,1,1,5,0,0,0,3,5,1,6,1,1,1,3,3,0,6,0,2,2,2,2,2,4,0,0,0,0,2,6,1,2,0
81,45937,1,45,55272,11,0,40,0,-1,1,0,0,1,0,2,1,2,1,1,0,0,1,0,1,0,1,1,4,2,3,1,3,4,0,4,0,4,0,1,5,5,4,2,3,0,5,8,5,6,6,2,3,5,4,0,0,0,1,2,1,1,1,8
82,18049,1,36,484024,9,0,40,0,-1,0,1,0,1,0,1,0,2,1,1,2,1,2,2,1,4,4,2,2,2,0,2,2,0,0,6,2,6,2,1,0,7,3,0,3,5,7,0,1,6,4,3,4,3,7,1,1,3,4,1,0,2,6,5
83,3000,1,31,259931,4,0,40,0,-1,0,1,0,1,0,1,0,0,1,1,1,1,2,2,1,2,3,2,2,2,5,2,0,0,3,1,5,1,2,1,1,7,3,0,3,8,7,0,1,6,8,3,4,3,0,1,1,3,2,1,0,2,6,5
84,29683,1,25,141876,14,0,45,0,-1,1,0,1,0,0,0,0,1,0,1,0,1,3,3,1,0,1,0,0,2,2,5,1,5,0,0,6,3,5,1,6,5,1,1,3,4,5,6,0,6,1,1,2,2,5,0,1,3,1,0,1,0,1,8
85,16840,1,62,199193,9,0,25,0,-1,1,1,0,1,0,2,0,2,1,1,3,1,1,2,1,3,4,1,3,2,1,2,0,4,0,5,2,1,0,1,2,7,4,2,3,7,7,2,5,6,9,3,0,5,5,1,1,3,4,1,0,2,6,5
86,26232,1,35,218955,13,0,40,0,-1,0,0,1,0,0,0,1,1,0,1,1,0,3,3,1,0,2,0,0,2,2,1,1,5,3,0,0,3,5,1,6,1,1,1,3,4,0,6,0,6,1,2,2,2,0,0,0,0,0,2,6,1,2,0
87,1422,0,40,202872,12,0,45,0,-1,1,0,0,1,0,0,1,2,1,1,1,0,0,0,1,3,1,4,3,2,2,5,4,1,0,0,6,6,6,1,6,5,5,6,3,4,5,5,3,6,1,1,6,9,4,0,0,0,1,0,1,0,1,8
88,9194,0,55,170169,9,0,40,0,-1,1,0,0,1,0,2,1,2,1,1,3,0,0,0,1,3,2,4,3,2,1,4,4,4,0,5,1,4,3,1,2,3,7,4,3,7,4,7,1,6,9,0,9,0,0,0,0,0,0,5,2,3,5,9
89,26229,0,35,261012,10,0,40,0,-1,0,0,0,1,0,1,1,2,1,1,1,0,0,0,1,4,2,4,3,2,0,4,4,1,3,6,1,6,2,1,4,1,3,0,3,5,8,3,1,6,3,7,4,3,9,0,0,0,0,5,6,1,8,4
90,34271,0,53,94186,12,0,37,0,-1,1,0,0,1,0,2,1,2,1,1,3,0,0,0,1,3,1,4,3,2,4,5,4,1,0,5,6,4,6,1,6,5,5,4,3,3,5,5,1,6,2,1,6,0,0,0,0,0,1,0,1,0,1,8
91,14198,0,39,206253,13,0,40,0,-1,0,0,0,1,0,0,1,2,1,1,1,0,0,0,1,0,2,4,3,2,2,1,4,1,0,0,0,6,6,2,6,1,5,6,3,3,0,5,3,6,1,2,6,9,5,0,0,0,0,2,6,1,2,0
92,47220,1,27,262723,10,0,40,0,-1,0,0,0,1,0,1,1,0,2,1,2,0,2,1,1,4,2,2,2,2,0,1,2,0,3,2,0,6,2,1,4,1,3,0,3,6,0,0,4,6,3,7,4,3,7,0,0,0,0,2,6,1,2,0
93,48161,1,34,103642,9,0,40,0,-1,1,0,0,1,0,1,1,0,1,1,0,0,1,0,1,0,2,1,4,2,3,4,3,3,0,4,1,5,1,1,5,3,0,3,3,0,4,8,8,6,6,0,3,4,5,0,0,0,0,5,2,3,5,9
94,147,0,36,108293,9,0,24,0,-1,1,0,0,1,0,1,0,2,1,1,0,1,0,2,1,0,1,1,1,2,3,5,5,4,0,4,6,4,2,2,5,5,7,0,3,2,2,4,1,6,6,9,7,6,5,0,1,3,1,0,3,0,3,1
95,21528,0,55,194065,12,0,40,0,-1,1,0,0,1,0,2,0,2,1,1,3,1,0,0,1,3,1,4,3,2,1,5,4,1,0,5,6,4,6,1,6,5,5,4,3,3,5,5,1,6,2,1,6,0,0,0,1,3,1,0,1,0,1,8
96,40318,1,42,27085,10,0,40,0,-1,1,0,0,1,0,2,1,2,1,1,0,0,1,0,1,0,1,1,4,2,3,1,3,3,0,4,0,4,0,1,5,1,0,2,3,0,0,8,8,6,6,2,3,4,5,0,0,0,1,2,6,1,2,0
97,30170,0,20,26842,10,2176,40,0,-1,1,0,0,1,0,0,0,2,1,1,0,1,0,0,1,0,1,1,3,2,3,2,4,4,0,4,6,4,3,1,5,0,7,7,3,0,2,3,7,6,7,9,8,1,5,0,1,3,1,1,3,7,3,1
98,32941,1,64,192715,13,0,10,0,-1,1,1,1,0,0,2,2,2,1,1,3,3,0,2,1,3,3,1,3,2,1,0,0,4,5,5,4,1,0,1,6,4,4,2,3,3,1,2,1,6,2,5,0,5,0,1,2,1,2,4,5,4,4,6
